clean_text,classificazione
"Toxoplasmosi: come si trasmette, quali sono i sintomi e perché è pericolosa durante la gravidanza? Leggi l'articolo: toxoplasmosi parassita infezione fetale gravidanza pediatra luca marco berti medicina online",0
"Dopo aver viaggiato in Asia, ho capito che la nostra idea di ""crisi"" è ridicola rispetto alle difficoltà che affrontano le popolazioni locali.",0
"Un ""catalizzatore di cambiamento"" per il settore del travel, stando ai dati dell'Osservatorio sul Turismo e Innovazione Tecnologica.",0
qui invece i bastardelli della facoltà di ingegneria controllano i passaporti degli altri guadagnandosi vantaggi. che schifo di popolo. ecco il perché della classe politica,1
vai vai non vaccinatevi fate bene,1
sarà senz'altro colpa del 10% della popolazione non ancora vaccinata,1
"a questi devastati mentali dovrebbero fare il vaccino che tramite modifica del dna fa crescere la museruola direttamente sulla bocca una bella membrana che non lascia passare nulla, tanto é il cervello che ha bisogno di ossigeno",1
fanno prima ad indossare la tuta antisommossa e il casco,0
"per quello sarebbe impossibile, visto che la dottoressa che ho io è una di quelle convinte dei vaccini e altre stronzate del coronacapra",1
no io in auto non la indosso veramente,1
"Gli lascio anche il mio kit di primo soccorso, più ne hai più sicurezza ci siamo.",0
"Un piccolo farmaco per la neonata, un grande succo di frutta per lei e per sua nonna, seconda dose in programma.",0
"non mi stancherò mai di obiettare esplicitamente illimitato fino a quando non si conoscono nuovi sviluppi su contagi e protezione terza dose pensare di lasciare limitazione a 6 mesi è una stronzata ho fatto dose a gennaio, dovrei rifarla a luglio? no! in autunno se necessario",1
secondo me anche ciò che ha detto prima era ironico per dire che quando tutti gli idioti si vaccinerano smettono di rompere i coglioni e penseranno al futuro del nostro paese io ho capito così,1
torna a casa mio figlio minorenne dalla scuola e mi dice che la professoressa di matematica ha chiesto a tutta la classe chi si sarebbe vaccinato. ma è normale ????,1
"non è proprio così come dici tu. diciamo che abbiamo scoperto che l'italiano è egoista. ai tempi d'oro degli anni 70 80 90 00 di cgil cisl uil, se un solo lavoratore veniva discriminato, si fermavano 1000 lavoratori. oggi no. ma non solo il sindacato, ma chiunque. quello che mi fa tanta tanta rabbia è il silenzio di chi ha visto gruppi di italiani discriminati, da maggio 2021 i sanitari, settembre docenti e poliziotti, ottobre tutti i dipendenti, e quasi tutti non hanno mosso un dito. anzi ai bidose (come me che però protesto da agosto) sarà anche sfuggita qualche frase contro i no vax. ora questi bidose prima di chiedere aiuto, si sono fatti un esame di coscienza ? hanno fatto mea culpa ? o continuano solo a pensare a se stessi. allora mi viene da chiedermi se è giusto aiutarli. lo stesso discorso per i bar e ristoranti che ci hanno sempre osteggiato e ora nel 2022 vogliono stare dalla ns parte. la risposta: si, voglio aiutarli lo stesso.",1
Seconda dose fatta stamattina.,0
"si ma fai un video finto per prendere in giro i negazionisti,senza farti il vaccino? che persona sei a fare una cosa del genere",1
